Medicamento,Comercializado,Especie de destino
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,SI,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,NO,Perros
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,NO,Perros
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,SI,Perros
ONSIOR 5 MG COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 5 MG COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 5 MG COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 5 MG COMPRIMIDOS PARA PERROS,NO,Perros
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,SI,Gatos
FIPROTEC 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FIPROTEC 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FIPROTEC 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FIPROTEC 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
ZODON 150 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 150 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 150 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 150 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
"CORDEXVALL 1,9 mg/ml",SI,Perros
"CORDEXVALL 1,9 mg/ml",SI,Perros
"DEXINVET 1,9 mg/ml",SI,Gatos
"DEXINVET 1,9 mg/ml",SI,Gatos
RONAXAN 20 mg COMPRIMIDOS,SI,Gatos
RONAXAN 100 mg COMPRIMIDOS,SI,Gatos
EURICAN PIRO,SI,Perros
EURICAN PIRO,NO,Perros
STOMORGYL 2 kg COMPRIMIDOS RECUBIERTOS,SI,Perros
STOMORGYL 10 kg COMPRIMIDOS RECUBIERTOS,SI,Gatos
CANITENOL PLUS 50 mg/144 mg/150 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANITENOL PLUS 50 mg/144 mg/150 mg COMPRIMIDOS PARA PERROS,SI,Perros
RELEASE 300 mg/ml SOLUCION INYECTABLE,NO,Gatos
RELEASE 300 mg/ml SOLUCION INYECTABLE,SI,Perros
VERSICAN PLUS DHPPI/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,SI,Perros
VERSICAN PLUS DHPPI/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Perros
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
VERSICAN PLUS DHPPI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,SI,Perros
VERSICAN PLUS DHPPI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS DHPPi LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA PERROS,SI,Perros
VERSICAN PLUS DHPPi LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS PI LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS PI LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS L4 SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS L4 SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS Pi/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,SI,Perros
VERSICAN PLUS Pi/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
VERSICAN PLUS PI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,SI,Perros
VERSICAN PLUS PI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,NO,Perros
"EFFINOL 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS Y GATOS",SI,Perros
"EFFINOL 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS Y GATOS",SI,Perros
"EFFINOL 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS Y GATOS",SI,Perros
VANGUARD 7 liofilizado y suspension para suspension inyectable para perros # VANGUARD 7,NO,Perros
VANGUARD 7 liofilizado y suspension para suspension inyectable para perros # VANGUARD 7,SI,Perros
EURICAN PNEUMO,SI,Perros
EURICAN PNEUMO,NO,Perros
CANIGEN 8,NO,Perros
CANIGEN 8,NO,Perros
CANIGEN 8,NO,Perros
"SUROLAN 20 mg/ml + 4,48 mg/ml + 0,5293 mg/ml, SUSPENSION CUTANEA/GOTAS OTICAS, SUSPENSION PARA PERROS Y GATOS # SUROLAN SUSPENSION OLEOSA PARA PERROS Y GATOS",SI,Perros
"SUROLAN 20 mg/ml + 4,48 mg/ml + 0,5293 mg/ml, SUSPENSION CUTANEA/GOTAS OTICAS, SUSPENSION PARA PERROS Y GATOS # SUROLAN SUSPENSION OLEOSA PARA PERROS Y GATOS",NO,Perros
EURICAN DAP-LR # EURICAN MHP-LR,SI,Perros
EURICAN DAP-LR # EURICAN MHP-LR,NO,Perros
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Gatos
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Gatos
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Gatos
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 2.5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Gatos
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
METOMOTYL 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
"AMFLEE 2,5 mg/ml SPRAY SOLUCION CUTANEA PARA GATOS Y PERROS",NO,Gatos
"AMFLEE 2,5 mg/ml SPRAY SOLUCION CUTANEA PARA GATOS Y PERROS",NO,Perros
"AMFLEE 2,5 mg/ml SPRAY SOLUCION CUTANEA PARA GATOS Y PERROS",NO,Perros
ANAESTAMINE 100 mg/ml SOLUCION INYECTABLE,NO,Gatos
ANAESTAMINE 100 mg/ml SOLUCION INYECTABLE,NO,Perros
ANAESTAMINE 100 mg/ml SOLUCION INYECTABLE,NO,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 10 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
FUROSORAL 40 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
GENDIAN 60 mg/ml SOLUCION INYECTABLE,SI,Perros
FRONTLINE COMBO SPOT-ON PERRO 20-40 kg,NO,Perros
FRONTLINE COMBO SPOT-ON GATO,NO,Gatos
BAYTRIL 25 mg/ml SOLUCION INYECTABLE,NO,Gatos
"MILBACTOR 12,5 mg/125 mg COMPRIMIDOS PARA PERROS QUE PESEN AL MENOS 5 kg",NO,Perros
"MILBACTOR 12,5 mg/125 mg COMPRIMIDOS PARA PERROS QUE PESEN AL MENOS 5 kg",SI,Perros
MILBACTOR 16 mg/40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA GATOS QUE PESEN AL MENOS  2 kg,SI,Gatos
MILBACTOR 16 mg/40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA GATOS QUE PESEN AL MENOS  2 kg,NO,Gatos
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,SI,Perros
POPANDOG 50/144/200 mg COMPRIMIDOS PARA PERROS # POPANDOG COMPRIMIDOS PARA PERROS,NO,Perros
AMOXAL 150 mg/ml SUSPENSION INYECTABLE,SI,Perros
AMOXAL 150 mg/ml SUSPENSION INYECTABLE,SI,Gatos
AMOXAL 150 mg/ml SUSPENSION INYECTABLE,NO,Perros
AMOXAL 150 mg/ml SUSPENSION INYECTABLE,NO,Gatos
KETASET 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS,SI,Perros
KETASET 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS,SI,Gatos
NOBIVAC LEPTO,SI,Perros
NOBIVAC LEPTO,SI,Perros
CANITENOL-BT 50 mg COMPRIMIDOS,SI,Gatos
CANITENOL-BT 50 mg COMPRIMIDOS,SI,Perros
"AMODIP 1,25 mg COMPRIMIDOS MASTICABLES PARA GATOS",SI,Gatos
"AMODIP 1,25 mg COMPRIMIDOS MASTICABLES PARA GATOS",SI,Gatos
"AMODIP 1,25 mg COMPRIMIDOS MASTICABLES PARA GATOS",NO,Gatos
MITEX GOTAS OTICAS Y SUSPENSION CUTANEA PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
AMOXIBACTIN 50 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
CANIGEN MHA2L,NO,Perros
CANIGEN MHA2L,SI,Perros
CANIGEN MHA2L,NO,Perros
GENTASOL SOLUCION INYECTABLE,SI,Gatos
NOBIVAC DHP,SI,Perros
NOBIVAC DHP,NO,Perros
NOBIVAC DHP,SI,Perros
NOBIVAC DHP,NO,Perros
NOBIVAC DHP,NO,Perros
NOBIVAC PARVO C,SI,Perros
NOBIVAC PARVO C,NO,Perros
NOBIVAC PARVO C,SI,Perros
NOBIVAC PARVO C,NO,Perros
NOBIVAC PARVO C,NO,Perros
NOBIVAC DHPPi,SI,Perros
NOBIVAC DHPPi,NO,Perros
NOBIVAC DHPPi,SI,Perros
NOBIVAC DHPPi,NO,Perros
NOBIVAC DHPPi,NO,Perros
NOBIVAC DHPPi,NO,Perros
CANIGEN 7,NO,Perros
CANIGEN 7,NO,Perros
CANIGEN 7,NO,Perros
RABIGEN L,NO,Gatos
RABIGEN L,SI,Perros
RABIGEN L,NO,Perros
CANIGEN LR,NO,Perros
CANIGEN LR,NO,Perros
CANIGEN LR,NO,Perros
"VETMEDIN VET 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS",NO,Perros
"VETMEDIN VET 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS",NO,Perros
"VETMEDIN VET 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 1,25 mg COMPRIMIDOS MASTICABLES PARA PERROS",SI,Perros
"VETMEDIN VET 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS",NO,Perros
"VETMEDIN VET 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS",NO,Perros
"VETMEDIN VET 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 2,5 mg COMPRIMIDOS MASTICABLES PARA PERROS",SI,Perros
VETMEDIN VET 5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 5 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
VETMEDIN VET 5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 5 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
VETMEDIN VET 5 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 5 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
VETMEDIN VET 10 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 10 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
VETMEDIN VET 10 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 10 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
VETMEDIN VET 10 mg COMPRIMIDOS MASTICABLES PARA PERROS # PIMOVITA 10 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
CANIGEN MHA2PLR,NO,Perros
CANIGEN MHA2PLR,NO,Perros
CANIGEN MHA2PLR,NO,Perros
CANIGEN MHA2PL,NO,Perros
CANIGEN MHA2PL,SI,Perros
CANIGEN MHA2PL,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,SI,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
PIRETRON 715 mg SOLUCION SPOT-ON PARA PERROS # PIRETRON 715 mg/ml SOLUCION SPOT-ON PARA PERROS,NO,Perros
CANIGEN MHA2P,NO,Perros
CANIGEN MHA2P,NO,Perros
CANIGEN MHA2P,NO,Perros
NOBIVAC RABIA,SI,Perros
NOBIVAC RABIA,NO,Gatos
CANIGEN MHA2PPI,NO,Perros
CANIGEN MHA2PPI,NO,Perros
CANIGEN MHA2PPI,NO,Perros
PARVIGEN,NO,Perros
PARVIGEN,SI,Perros
PARVIGEN,NO,Perros
SOLIPHEN 60 mg COMPRIMIDOS PARA PERROS,SI,Perros
SOLIPHEN 60 mg COMPRIMIDOS PARA PERROS,NO,Perros
SOLIPHEN 60 mg COMPRIMIDOS PARA PERROS,NO,Perros
CLINDASEPTIN 25 mg CAPSULAS PARA PERROS,NO,Perros
CORTAVANCE 0.584MG/ML SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS,NO,Perros
CONVENIA 80 mg/ml POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
PRIMUCELL FIP,NO,Gatos
PRIMUCELL FIP,SI,Gatos
PRIMUCELL FIP,NO,Gatos
"APOQUEL 5,4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
"APOQUEL 5,4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
"APOQUEL 5,4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
"APOQUEL 3,6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
"APOQUEL 3,6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
"APOQUEL 3,6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",NO,Perros
APOQUEL 16 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,NO,Perros
APOQUEL 16 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,NO,Perros
APOQUEL 16 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,NO,Perros
FINILAC 50 microgramos/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
FINILAC 50 microgramos/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Perros
FINILAC 50 microgramos/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
FINILAC 50 microgramos/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Perros
FINILAC 50 microgramos/ml SOLUCION ORAL PARA PERROS Y GATOS,SI,Gatos
KATA CHAMOMILLA SOLUCION ORAL,SI,Gatos
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
CANERGY 100 mg COMPRIMIDOS PARA PERROS,SI,Perros
FELIGEN CRP,NO,Gatos
FELIGEN CRP,SI,Gatos
FELIGEN CRP,NO,Gatos
FELIGEN CRP R,NO,Gatos
